"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"12/12/2023","1,979.44","1,981.59","1,996.80","1,977.19","","-0.09%"
"11/12/2023","1,981.30","2,003.60","2,008.72","1,975.95","","-1.10%"
"08/12/2023","2,003.39","2,028.69","2,034.19","1,994.74","","-1.23%"
"07/12/2023","2,028.34","2,025.30","2,039.93","2,020.26","","0.17%"
"06/12/2023","2,024.90","2,019.74","2,036.30","2,017.27","","0.27%"
"05/12/2023","2,019.42","2,030.15","2,041.33","2,010.02","","-0.52%"
"04/12/2023","2,030.06","2,071.07","2,135.72","2,020.41","","-1.97%"
"01/12/2023","2,070.90","2,034.49","2,075.34","2,033.75","","1.73%"
"30/11/2023","2,035.75","2,044.80","2,047.59","2,031.84","","-0.43%"
"29/11/2023","2,044.59","2,041.24","2,052.09","2,035.05","","0.18%"
"28/11/2023","2,040.89","2,013.94","2,043.00","2,011.60","","1.35%"
"27/11/2023","2,013.64","2,002.78","2,018.14","2,000.67","","0.58%"
"24/11/2023","2,001.97","1,994.06","2,003.68","1,991.40","","0.51%"
"23/11/2023","1,991.79","1,990.15","1,999.19","1,989.01","","0.10%"
"22/11/2023","1,989.72","1,998.69","2,006.90","1,986.89","","-0.43%"
"21/11/2023","1,998.37","1,977.49","2,007.52","1,977.34","","1.07%"
"20/11/2023","1,977.19","1,980.39","1,985.26","1,965.20","","-0.14%"
"17/11/2023","1,980.01","1,981.21","1,993.94","1,978.59","","-0.04%"
"16/11/2023","1,980.85","1,959.44","1,988.03","1,956.49","","1.11%"
"15/11/2023","1,959.09","1,963.05","1,975.59","1,955.41","","-0.18%"
"14/11/2023","1,962.67","1,946.19","1,970.84","1,943.40","","0.86%"
"13/11/2023","1,945.89","1,937.05","1,949.27","1,931.73","","0.47%"
"10/11/2023","1,936.79","1,958.40","1,960.93","1,933.18","","-1.09%"
"09/11/2023","1,958.19","1,950.09","1,965.69","1,944.30","","0.43%"
"08/11/2023","1,949.79","1,968.84","1,971.12","1,947.48","","-0.95%"
"07/11/2023","1,968.40","1,978.19","1,978.75","1,956.20","","-0.47%"
"06/11/2023","1,977.68","1,992.30","1,993.30","1,977.52","","-0.73%"
"03/11/2023","1,992.27","1,985.69","2,004.06","1,983.26","","0.34%"
"02/11/2023","1,985.51","1,983.53","1,991.49","1,978.90","","0.17%"
"01/11/2023","1,982.15","1,983.01","1,992.09","1,969.90","","-0.03%"
"31/10/2023","1,982.70","1,996.00","2,007.80","1,978.90","","-0.66%"
"30/10/2023","1,995.88","2,004.80","2,007.37","1,990.50","","-0.49%"
"27/10/2023","2,005.78","1,985.17","2,009.48","1,976.35","","1.06%"
"26/10/2023","1,984.82","1,979.97","1,994.05","1,971.60","","0.26%"
"25/10/2023","1,979.62","1,971.36","1,987.19","1,963.34","","0.48%"
"24/10/2023","1,970.11","1,972.97","1,980.99","1,953.50","","-0.13%"
"23/10/2023","1,972.59","1,972.90","1,983.40","1,964.36","","-0.43%"
"20/10/2023","1,981.04","1,974.31","1,997.27","1,971.93","","0.37%"
"19/10/2023","1,973.70","1,947.99","1,977.86","1,945.18","","1.34%"
"18/10/2023","1,947.69","1,923.70","1,962.74","1,923.05","","1.31%"
"17/10/2023","1,922.46","1,920.14","1,931.56","1,911.85","","0.16%"
"16/10/2023","1,919.44","1,929.30","1,931.80","1,907.65","","-0.63%"
"13/10/2023","1,931.70","1,869.02","1,933.76","1,868.94","","3.37%"
"12/10/2023","1,868.65","1,874.10","1,885.30","1,866.92","","-0.26%"
"11/10/2023","1,873.61","1,859.99","1,877.22","1,858.60","","0.73%"
"10/10/2023","1,860.09","1,861.27","1,865.65","1,852.65","","-0.04%"
"09/10/2023","1,860.88","1,832.74","1,864.15","1,832.63","","1.56%"
"06/10/2023","1,832.26","1,820.40","1,834.97","1,810.10","","0.67%"
"05/10/2023","1,820.01","1,820.49","1,829.30","1,812.70","","-0.06%"
"04/10/2023","1,821.08","1,824.30","1,831.05","1,816.15","","-0.10%"
"03/10/2023","1,822.81","1,827.96","1,833.36","1,814.70","","-0.25%"
"02/10/2023","1,827.40","1,848.13","1,849.06","1,826.60","","-1.13%"
"29/09/2023","1,848.31","1,865.43","1,880.24","1,846.34","","-0.87%"
"28/09/2023","1,864.56","1,875.73","1,880.15","1,857.76","","-0.54%"
"27/09/2023","1,874.70","1,900.69","1,903.95","1,872.47","","-1.36%"
"26/09/2023","1,900.49","1,916.03","1,916.89","1,899.17","","-0.79%"
"25/09/2023","1,915.66","1,925.24","1,927.26","1,915.00","","-0.48%"
"22/09/2023","1,924.99","1,920.08","1,929.65","1,919.58","","0.28%"
"21/09/2023","1,919.57","1,930.99","1,931.74","1,913.40","","-0.52%"
"20/09/2023","1,929.68","1,931.69","1,947.80","1,927.90","","-0.07%"
"19/09/2023","1,930.94","1,933.68","1,937.94","1,929.71","","-0.11%"
"18/09/2023","1,933.14","1,924.19","1,934.61","1,922.15","","0.50%"
"15/09/2023","1,923.57","1,910.90","1,930.84","1,909.74","","0.69%"
"14/09/2023","1,910.32","1,906.68","1,912.99","1,900.95","","0.21%"
"13/09/2023","1,906.30","1,913.55","1,916.30","1,905.50","","-0.36%"
"12/09/2023","1,913.26","1,922.90","1,925.05","1,907.15","","-0.44%"
"11/09/2023","1,921.66","1,919.16","1,930.90","1,916.90","","0.20%"
"08/09/2023","1,917.81","1,919.57","1,930.19","1,917.36","","-0.07%"
"07/09/2023","1,919.19","1,916.86","1,923.67","1,916.10","","0.15%"
"06/09/2023","1,916.28","1,926.16","1,929.80","1,914.80","","-0.50%"
"05/09/2023","1,925.81","1,938.59","1,939.13","1,925.22","","-0.64%"
"04/09/2023","1,938.19","1,940.49","1,946.42","1,936.15","","-0.03%"
"01/09/2023","1,938.80","1,940.19","1,953.44","1,934.59","","-0.05%"
"31/08/2023","1,939.74","1,942.61","1,948.19","1,938.86","","-0.13%"
"30/08/2023","1,942.24","1,937.48","1,949.04","1,934.94","","0.26%"
"29/08/2023","1,937.12","1,920.23","1,938.41","1,914.00","","0.91%"
"28/08/2023","1,919.66","1,916.09","1,926.19","1,912.83","","0.27%"
"25/08/2023","1,914.53","1,917.80","1,923.09","1,903.40","","-0.11%"
"24/08/2023","1,916.60","1,914.15","1,923.94","1,911.35","","0.12%"
"23/08/2023","1,914.31","1,897.80","1,920.94","1,897.23","","0.91%"
"22/08/2023","1,897.00","1,895.09","1,905.05","1,888.60","","0.16%"
"21/08/2023","1,893.94","1,889.40","1,899.05","1,884.50","","0.30%"
"18/08/2023","1,888.19","1,889.49","1,897.44","1,886.20","","-0.04%"
"17/08/2023","1,888.89","1,892.20","1,903.90","1,884.50","","-0.15%"
"16/08/2023","1,891.76","1,901.59","1,907.90","1,891.30","","-0.52%"
"15/08/2023","1,901.56","1,907.40","1,912.19","1,896.15","","-0.33%"
"14/08/2023","1,907.90","1,913.67","1,916.55","1,902.20","","-0.28%"
"11/08/2023","1,913.32","1,912.65","1,921.15","1,910.94","","0.07%"
"10/08/2023","1,912.06","1,914.94","1,930.11","1,911.73","","-0.13%"
"09/08/2023","1,914.59","1,925.16","1,932.48","1,914.05","","-0.53%"
"08/08/2023","1,924.82","1,936.76","1,938.15","1,922.50","","-0.60%"
"07/08/2023","1,936.39","1,942.59","1,946.81","1,931.53","","-0.27%"
"04/08/2023","1,941.62","1,934.12","1,947.19","1,929.75","","0.41%"
"03/08/2023","1,933.74","1,934.66","1,939.03","1,929.55","","0.01%"
"02/08/2023","1,933.56","1,945.74","1,955.40","1,933.00","","-0.54%"
"01/08/2023","1,944.08","1,965.10","1,966.24","1,941.20","","-1.02%"
"31/07/2023","1,964.19","1,959.49","1,972.44","1,951.00","","0.25%"
"28/07/2023","1,959.20","1,944.27","1,963.71","1,944.27","","0.73%"
"27/07/2023","1,944.99","1,972.08","1,982.24","1,942.61","","-1.38%"
"26/07/2023","1,972.10","1,964.99","1,978.31","1,961.99","","0.38%"
"25/07/2023","1,964.58","1,955.20","1,966.03","1,953.21","","0.52%"
"24/07/2023","1,954.51","1,962.09","1,967.97","1,953.42","","-0.29%"
"21/07/2023","1,960.23","1,969.99","1,973.89","1,956.82","","-0.48%"
"20/07/2023","1,969.62","1,976.80","1,987.59","1,965.40","","-0.36%"
