"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"06/09/2023","87.54","86.72","88.08","85.93","307.12K","0.98%"
"05/09/2023","86.69","86.06","88.07","85.02","452.91K","1.01%"
"04/09/2023","85.82","85.85","86.14","85.28","","-0.03%"
"03/09/2023","85.85","86.06","86.06","85.73","","0.35%"
"01/09/2023","85.55","83.63","86.06","83.46","420.46K","2.30%"
"31/08/2023","83.63","81.70","83.69","81.48","368.85K","2.45%"
"30/08/2023","81.63","81.29","82.05","80.88","299.42K","0.58%"
"29/08/2023","81.16","79.98","81.41","79.34","284.17K","1.32%"
"28/08/2023","80.10","80.15","80.87","79.61","246.58K","0.34%"
"25/08/2023","79.83","78.88","80.45","78.14","411.41K","0.99%"
"24/08/2023","79.05","78.57","79.28","77.59","349.23K","0.20%"
"23/08/2023","78.89","79.64","79.91","77.62","378.15K","-1.82%"
"22/08/2023","80.35","80.80","80.99","80.10","21.69K","-0.46%"
"21/08/2023","80.72","81.43","82.47","80.61","115.87K","-0.65%"
"18/08/2023","81.25","80.04","81.61","79.59","128.09K","1.07%"
"17/08/2023","80.39","79.25","81.08","78.95","235.58K","1.27%"
"16/08/2023","79.38","81.23","81.43","79.05","325.40K","-1.99%"
"15/08/2023","80.99","82.52","82.91","80.40","303.21K","-1.84%"
"14/08/2023","82.51","83.09","83.20","81.76","277.35K","-0.82%"
"11/08/2023","83.19","82.83","83.81","82.23","331.25K","0.45%"
"10/08/2023","82.82","84.25","84.89","82.58","362.19K","-1.87%"
"09/08/2023","84.40","82.88","84.65","82.67","478.14K","1.78%"
"08/08/2023","82.92","82.53","83.08","79.90","424.55K","1.20%"
"07/08/2023","81.94","82.82","83.30","81.52","293.04K","-1.06%"
"04/08/2023","82.82","81.73","83.24","81.51","320.87K","1.56%"
"03/08/2023","81.55","79.77","81.86","78.69","402.64K","2.59%"
"02/08/2023","79.49","82.05","82.43","79.05","414.83K","-2.31%"
"01/08/2023","81.37","81.73","82.22","80.59","307.86K","-0.53%"
"31/07/2023","81.80","80.65","82.00","80.13","297.27K","1.51%"
"28/07/2023","80.58","79.84","80.71","79.07","299.55K","0.61%"
"27/07/2023","80.09","78.90","80.60","78.87","374.36K","1.66%"
"26/07/2023","78.78","79.34","79.77","78.55","322.03K","-1.07%"
"25/07/2023","79.63","78.85","79.90","78.29","349.60K","1.13%"
"24/07/2023","78.74","77.01","79.28","76.44","368.29K","2.17%"
"21/07/2023","77.07","75.70","77.29","75.69","308.11K","1.90%"
"20/07/2023","75.63","75.35","76.15","74.72","23.71K","0.37%"
"19/07/2023","75.35","75.84","76.97","75.07","92.92K","-0.53%"
"18/07/2023","75.75","74.18","75.96","73.88","125.09K","2.16%"
"17/07/2023","74.15","75.02","76.09","73.84","244.79K","-1.68%"
"14/07/2023","75.42","77.16","77.30","75.11","299.58K","-1.91%"
"13/07/2023","76.89","75.85","77.33","75.32","379.73K","1.50%"
